1607767200000,2.13660000,2.14060000,2.11690000,2.12660000,108376.33000000,1607770799999,230460.13084200,1055,37373.29000000,79444.35153300,0
1607770800000,2.12580000,2.13870000,2.12390000,2.13780000,81828.58000000,1607774399999,174370.86264300,849,44917.83000000,95717.11478800,0
1607774400000,2.13920000,2.14020000,2.13130000,2.13540000,59889.41000000,1607777999999,127913.38403100,666,37036.12000000,79107.54301200,0
1607778000000,2.13550000,2.13810000,2.11490000,2.11870000,87636.34000000,1607781599999,186256.68162600,682,32523.00000000,68999.68462700,0
1607781600000,2.11770000,2.12500000,2.10060000,2.10700000,134503.73000000,1607785199999,283741.57620100,1463,74510.91000000,157200.07185300,0
1607785200000,2.10600000,2.11230000,2.09560000,2.11230000,109596.02000000,1607788799999,230577.49987000,972,50427.24000000,106204.51378600,0
1607788800000,2.11060000,2.11720000,2.10230000,2.10970000,86446.98000000,1607792399999,182543.83167500,755,32853.73000000,69326.73337800,0
1607792400000,2.11100000,2.11770000,2.09940000,2.11720000,88534.37000000,1607795999999,186408.12764700,637,63976.04000000,134653.60926800,0
1607796000000,2.11750000,2.14190000,2.11600000,2.14190000,136241.97000000,1607799599999,290180.46765500,1342,83296.44000000,177522.03655700,0
1607799600000,2.14170000,2.14560000,2.12940000,2.13880000,113501.96000000,1607803199999,242542.54231800,1036,38792.04000000,82889.67507500,0
1607803200000,2.14060000,2.15000000,2.13590000,2.14730000,88431.75000000,1607806799999,189563.79240900,903,39931.34000000,85626.26964400,0
1607806800000,2.14970000,2.15890000,2.14690000,2.15070000,88497.53000000,1607810399999,190376.99821400,895,50222.92000000,108044.00648300,0
1607810400000,2.15000000,2.15640000,2.14420000,2.14850000,101724.24000000,1607813999999,218700.84937400,786,29921.97000000,64317.88893400,0
1607814000000,2.14860000,2.14860000,2.12900000,2.13570000,62998.55000000,1607817599999,134684.87739600,700,37234.06000000,79609.47900900,0
1607817600000,2.13730000,2.15010000,2.13010000,2.13530000,90471.55000000,1607821199999,193308.62065500,931,35860.22000000,76644.49535800,0
1607821200000,2.13530000,2.14970000,2.13340000,2.14440000,60232.19000000,1607824799999,129181.02881400,502,34787.95000000,74618.62322100,0
1607824800000,2.14400000,2.14600000,2.13270000,2.13870000,58822.22000000,1607828399999,125851.72234300,613,19810.42000000,42391.09072400,0
